2024:01:06	14:58:58	f7b148c0-0f4b-449b-933a-7db50c8da86b	GET	/	undefined
2024:01:06	14:58:58	f95fff3d-e64c-415e-b930-7bbc37bb2d90	GET	/css/style.css	undefined
2024:01:06	14:59:00	c5a6bfcd-5cb3-4b39-9e21-019dc64ceaf6	GET	/favicon.ico	undefined
2024:01:06	16:41:14	7e38f09d-d8da-40ae-8924-2598cc1c3221	GET	/api/v1/course/get-courses	http://localhost:3000
2024:01:06	16:41:14	291b6bee-9d70-4fdc-a7a9-511e3ff3b422	GET	/api/v1/layout/get-layout/Banner	http://localhost:3000
2024:01:06	16:41:14	f76880b9-bd5a-4c0f-9985-9d31043e574b	GET	/api/v1/layout/get-layout/FAQ	http://localhost:3000
2024:01:06	16:41:14	2958b4ca-cd61-47cf-9a04-73c002b930d5	GET	/api/v1/refresh	http://localhost:3000
2024:01:06	16:42:56	d73481aa-b6c2-4037-9d1e-8b8500989adb	GET	/api/v1/layout/get-layout/Banner	http://localhost:3000
2024:01:06	16:42:56	4baa0e30-c512-49d4-a09f-71971f3710ce	GET	/api/v1/course/get-courses	http://localhost:3000
2024:01:06	16:42:56	fd18f212-c4f4-49ee-8139-0b0044e4cbf5	GET	/api/v1/layout/get-layout/FAQ	http://localhost:3000
2024:01:06	16:42:56	76f8cd7c-4ed8-488d-8d2b-2af810d37a9a	GET	/api/v1/refresh	http://localhost:3000
2024:01:06	16:43:03	7e80977d-4d53-4fe9-8e1d-b1ccf0541218	OPTIONS	/api/v1/get-user-info	http://localhost:3000
2024:01:06	16:43:03	94b32074-7849-4dd5-9271-da4d50e5c792	GET	/api/v1/get-user-info	http://localhost:3000
2024:01:06	16:43:20	58f90bed-fdbc-4409-a70b-285eafc5d51d	OPTIONS	/api/v1/layout/get-layout/Categories	http://localhost:3000
2024:01:06	16:43:20	bd961bb0-9480-4397-9e9d-768089e6f047	GET	/api/v1/layout/get-layout/Categories	http://localhost:3000
2024:01:06	16:44:05	69e9367b-1a29-4517-9127-49ac26114a18	GET	/api/v1/refresh	http://localhost:3000
